OBJECTID_1,OBJECTID,Site_Name,Kebele,Woreda,Zone,Region,Ownership,Owner_Name,Area,Perimeter,Inter_Type,Species,Interv_YR,Plantin_YR,Slng_Pr_Ha,Survi_Perc,Aver_Hgt_m,Ave_DBH_cm,Rock_Perc,Wetnes_Cla,Stoni_Perc,Soi_Dth_cm,Soil_Textu,SWC_Works,Land_Hazad,Soil_Color,Weed,Illegl_Cut,Grazing,Fire,LC_Class,X_Centroid,Y_Centroid,F3D_area_h,Shape_Leng,Shape_Area
106,106,Gabo,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.251214,0.222712,A/R,Eucalyptus camaldulensis,2018,2018,17700,708,0,0,0,Slight,0,100,Loamy Sand,Nil,Moderate Flood,Black,Low,No,No,No,2,381601,840075,0.276886957,0.002017552,2.06E-07
48,48,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.062925,0.107331,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,380989,839309,0.06389366,0.000972185,5.16E-08
63,63,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.072193,0.112084,A/R,Eucalyptus camaldulensis,2018,2018,26500,1060,0,0,0,Moderate,0,150,Clay Loam,Nil,Moderate Flood,Reddish Brown,No,No,No,No,2,381083,839720,0.072697324,0.001015033,5.92E-08
62,62,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.07262,0.115251,A/R,Eucalyptus camaldulensis,2018,2018,28400,1136,0,0,0,Moderate,0,150,Clay Loam,Nill,Moderate Flood,Black,Low,No,Low,No,2,381029,839685,0.074118403,0.001043127,5.95E-08
61,61,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.126465,0.143108,A/R,Eucalyptus camaldulensis,2018,2018,10400,416,0,0,0,Moderate,0,150,Clay Loam,Nil,Moderate Flood,Black,No,No,No,No,2,381011,839567,0.129838587,0.001295829,1.04E-07
60,60,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.125058,0.145209,A/R,Eucalyptus camaldulensis,2018,2018,20600,824,0,0,0,Slight,5,100,Silt Loam,Nill,Moderate Flood,Black,No,No,No,No,2,381015,839597,0.127996581,0.001315069,1.03E-07
59,59,Gabo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.09706,0.143024,A/R,Eucalyptus camaldulensis,2018,2018,18800,752,0,0,0,Nil,0,100,,,Moderate Flood,Red,Low,No,No,No,3,381462,838095,0.098412417,0.001295618,7.96E-08
77,77,Gombora,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.356809,0.248574,A/R,Eucalyptus globulus,2018,2018,22500,900,0,0,0,Slight,0,,,Nil,Nil,Brown,No,No,No,No,0,367496,831808,0.366764495,0.00225008,2.92E-07
13,13,Gombora,Lambuda,Lemo,Hadiya,SNNP,Communal,,52.493652,6.918968,A/R,"Acacia decurrens, Eucalyptus globulus",2018,2018,900,36,0,0,2,Moderate,0 to 15,100 to 130,Sandy Loam,Nil,Nil to Slight,Reddish Brown,No,No to Medium,High,Low,3,369480,840026,55.10414617,0.062648121,4.30E-05
88,88,Got 02,Lereba,Lemo,Hadiya,SNNP,Private,,1.748945,0.69729,A/R,Eucalyptus globulus,2018,2018,8100,324,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Reddish Brown,No,No,Low,No,2,371301,829600,1.818356149,0.006312915,1.43E-06
20,20,Got 02,Lereba,Lemo,Hadiya,SNNP,Communal,,28.814809,2.468495,A/R,Eucalyptus globulus,2018,2018,1600,64,0,0,2 to 5,Moderate,0,50 to 60,Clay,Terracig to Eyebrow,Soil Erosion,Reddish Brown,Medium to Dense,No,No to High,No,4,376454,831248,29.62337379,0.022344902,2.36E-05
87,87,Got 05,Lereba,Lemo,Hadiya,SNNP,Private,,0.077335,0.118351,A/R,Eucalyptus globulus,2018,2018,6200,248,0,0,0,Moderate,0,150,Clay Loam,Nil,Slight Flood,Reddish Brown,No,No,No,No,2,376158,831065,0.080453863,0.001071158,6.34E-08
86,86,Got 05,Lereba,Lemo,Hadiya,SNNP,Private,,0.049878,0.101388,A/R,Eucalyptus globulus,2018,2018,12500,500,0,0,0,Moderate,0,150,Clay Loam,Nil,Nil,Reddish Brown,No,No,No,No,2,376177,831182,0.051224927,0.000917507,4.09E-08
81,81,Guder,Haise,Lemo,Hadiya,SNNP,Private,,0.581018,0.445154,A/R,Eucalyptus saligna,2017,2017,5600,224,0,0,0,Slight,0,150,Silt Loam,Nil,Slight,Light Brown,No,No,No,No,2,377157,826092,0.593070605,0.004030583,4.76E-07
116,116,Guder,Shurmo and Dubancho,Lemo,Hadiya,SNNP,Private,,14.045196,2.061238,A/R,Eucalyptus globulus,2018,2018,7000,280,0,0,2,Nil,25,100,Sandy Loam,Nil,Slight Erosion,Reddish Brown,No,No,No,No,3,377781,843108,14.40471706,0.018655097,1.15E-05
16,16,Guder,Haise,Lemo,Hadiya,SNNP,Communal,,5.268579,1.91299,A/R,Eucalyptus saligna,2018,2018,2300,92,0,0,0,Slight,0 to 50,95 to 140,"Silt Loam, Clay Loam",No to Very Much,Slight to Moderate,"Reddish Brown, Brown",No,No,No,No,3,377286,825886,5.39282619,0.01731726,4.32E-06
15,15,Guder,Haise,Lemo,Hadiya,SNNP,Communal,,73.818227,5.190747,A/R,"Eucalyptus camaldulensis, Eucalyptus globulus, Acacia decurrens",2016,2016,2200,88,0,0,0,Slight,0 to 20,110 to 145,Silt Loam,Nil,Nil,"Reddish Brown, Brown",No,No,No,No,3,376935,827449,75.61973941,0.046995132,6.05E-05
1,1,Guder,Ajo Taisa,Lemo,Hadiya,SNNP,Communal,,13.625352,2.817947,A/R,Cupressus lusitanica,2016,2017,1700,68,0,0,0,Moderate,0,140 to 145,"Silt Loam, Clay Loam",Slight to Moderate,Nil,"Dark Brown, Black",No,No,No,No,2,380522,831866,13.84230468,0.025524303,1.12E-05
32,32,Guder,Tach Kode,Lemo,Hadiya,SNNP,Communal,,20.663563,2.538346,A/R,"Cupressus lusitanica, Grevillea robusta, Eucalyptus saligna",2016,2016,1900,76,0,0,0,Slight,0,140 to 150,Silt Loam,Nil,Nil,Dark Brown,No,No,No,No,3,377414,826785,21.33363449,0.022979652,1.69E-05
18,18,Guder,Lay Kode,Lemo,Hadiya,SNNP,Communal,,1.477909,0.841614,A/R,Eucalyptus camaldulensis,2016,2018,2000,80,0,0,0,Moderate,0,150,Silt Loam,Slight to Trenches,Nil,Black,Dense,Medium,Medium,No,2,378190,830243,1.516619801,0.007613036,1.21E-06
119,119,Gundo,Tach Ambicho,Lemo,Hadiya,SNNP,Private,,0.17188,0.17994,A/R,Eucalyptus saligna,2018,2018,8600,344,0,0,0,Moderate,0,100,Heavy Clay,Nil,Land Crack,,No,No,No,No,3,376717,832995,0.176015166,0.001629264,1.41E-07
118,118,Gundo,Tach Ambicho,Lemo,Hadiya,SNNP,Private,,0.308338,0.231853,A/R,Eucalyptus saligna,2018,2018,9100,364,0,0,0,Moderate,0,70,Sandy Clay Loam,Nil,Soil Erosion,,,,,,5,376817,832679,0.314102419,0.002099199,2.53E-07
53,53,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.500632,0.292896,A/R,Eucalyptus saligna,2018,2018,12500,500,0,0,0,Nil,0,150,Clay Loam,Nil,Nil,Dark Brown,Low,No,No,No,2,380600,837947,0.508687557,0.002652746,4.10E-07
52,52,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,1.381248,0.550259,A/R,Eucalyptus saligna,2018,2018,10700,428,0,0,0,Slight,0,150,Clay Loam,Slight,Slight,Dark Brown,Low,No,No,No,2,380938,838289,1.396919999,0.004984939,1.13E-06
51,51,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,3.042205,0.836026,A/R,Eucalyptus saligna,2018,2018,10700,428,0,0,0,Slight,0,150,Clay Loam,Slight,Slight,Dark Brown,Low,No,No,No,2,380640,838122,3.085934102,0.007569612,2.49E-06
50,50,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,1.022952,0.405042,A/R,Eucalyptus saligna,2018,2018,10700,428,0,0,0,Slight,0,150,Clay Loam,Slight,Slight,Dark Brown,Low,No,No,No,2,380666,838009,1.035998106,0.003667672,8.39E-07
49,49,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.115053,0.152995,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,380976,839386,0.118089505,0.001385753,9.43E-08
47,47,Gurje,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.298116,0.261415,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,380982,839331,0.300165415,0.002368464,2.44E-07
34,34,Habaga,Ajo Taisa,Lemo,Hadiya,SNNP,Private,,0.42573,0.280467,A/R,Eucalyptus globulus,2017,2018,2000,80,0,0,0,Moderate,0,100,Silt Loam,Slight,Nil,Dark Brown,No,No,No,No,2,383218,831533,0.444051776,0.002539828,3.49E-07
